Czestotliwosc,Amplituda,First,Second,n,W,W/a,W^2,P0,q,A,Ad
2.0,0.001,0.0,0.002,0.3125,1.9634954084936207,0.14101215697014158,3.8553142191755305,0.09869604401089359,0.013776667226534561,0.07249702923853922,0.07244325418786332
4.0,0.008,0.006,0.01,0.625,3.9269908169872414,0.28202431394028316,15.421256876702122,0.39478417604357435,0.055106668906138245,0.30878165593289364,0.307746964346451
6.0,0.025,0.01,0.04,0.9375,5.890486225480862,0.42303647091042473,34.697827972579766,0.8882643960980421,0.12399000503881101,0.7788890832070583,0.7715753814972514
8.0,0.801,0.103,1.5,1.25,7.853981633974483,0.5640486278805663,61.68502750680849,1.5791367041742974,0.22042667562455298,1.6673592446372125,1.6278746514627649
10.0,2.527,1.454,3.6,1.5625,9.817477042468104,0.705060784850708,96.38285547938827,2.46740110027234,0.34441668066336406,3.532361332337063,3.3068601439060363
12.0,6.247,0.031,12.463,1.875,11.780972450961723,0.8460729418208495,138.79131189031907,3.5530575843921683,0.49596002015524404,9.001941250805274,7.037777235566661
13.0,11.128,1.926,20.331,2.03125,12.762720155208534,0.9165790203059203,162.88702576016615,4.169907859460253,0.5820641903210851,18.776826665406766,10.246586738633912
13.5,14.835,0.249,29.421,2.109375,13.25359400733194,0.9518320595484557,175.65775411118508,4.496838505246338,0.6276994005089809,34.43535153407742,11.913852841415391
13.6,15.563,1.903,29.223,2.125,13.351768777756622,0.9588826673969629,178.26972949467654,4.563705075063719,0.6370330925549581,40.792654637502935,12.206022075225334
13.7,16.797,17.113,16.481,2.140625,13.449943548181302,0.9659332752454699,180.90098144926384,4.631065125101155,0.646435667937068,49.782819245846824,12.475016365763583
13.8,17.317,13.459,21.175,2.15625,13.548118318605983,0.972983883093977,183.551509974947,4.698918655358644,0.6559071266553105,63.467182132294404,12.716988879155402
13.9,18.043,5.373,30.712,2.171875,13.646293089030664,0.9800344909424841,186.22131507172605,4.767265665836187,0.6654474687096855,86.81883733981839,12.928510878208488
14.0,18.241,25.743,10.739,2.1875,13.744467859455344,0.9870850987909912,188.91039673960097,4.836106156533785,0.6750566941001933,135.67068715789927,13.1067524544327
14.1,18.86,14.325,23.395,2.203125,13.842642629880025,0.9941357066394981,191.6187549785718,4.905440127451438,0.684734802826834,301.99888253391566,13.249635536956525
14.2,18.689,35.456,1.922,2.21875,13.940817400304708,1.0011863144880053,194.3463897886385,4.975267578589146,0.6944817948896073,1508.783196290789,13.355942062471172
14.3,18.836,2.125,35.547,2.234375,14.038992170729388,1.0082369223365124,197.09330116980107,5.045588509946907,0.7042976702885131,219.59864931372766,13.425365119480183
14.4,19.02,0.947,37.093,2.25,14.137166941154069,1.0152875301850195,199.8594891220595,5.116402921524723,0.7141824290235516,119.56061692494356,13.45849813362772
14.5,18.673,0.108,37.239,2.265625,14.23534171157875,1.0223381380335266,202.6449536454138,5.187710813322593,0.7241360710947227,82.67472719466113,13.456765252765765
15.0,17.19,0.133,34.246,2.34375,14.726215563702155,1.057591177276062,216.86142482862357,5.551652475612763,0.7749375314925688,33.7291177046192,13.016071471340949
20.0,7.249,0.944,13.555,3.125,19.634954084936208,1.410121569701416,385.5314219175531,9.86960440108936,1.3776667226534562,7.1886268258403385,6.71504617314035
25.0,5.454,4.001,6.906,3.90625,24.543692606170257,1.7626519621267698,602.3928467461766,15.421256876702122,2.152604254146025,5.269445991496465,5.1419234789393045
30.0,4.793,0.047,9.539,4.6875,29.45243112740431,2.115182354552124,867.4456993144943,22.206609902451053,3.0997501259702753,4.602042812574206,4.542034234959388
35.0,4.461,6.028,2.894,5.46875,34.36116964863836,2.4677127469774778,1180.689979622506,30.225663478336152,4.219104338126208,4.275524664095698,4.23991696808914
