Czestotliwosc,Amplituda,First,Second
2,0,0,0.002
4,0,0.006,0.01
6,0,0.01,0.04
8,0,0.103,1.5
10,0,1.454,3.6
12,0,0.031,12.463
13,0,1.926,20.331
13.5,0,0.249,29.421
13.6,0,1.903,29.223
13.7,0,17.113,16.481
13.8,0,13.459,21.175
13.9,0,5.373,30.712
14,0,25.743,10.739
14.1,0,14.325,23.395
14.2,0,35.456,1.922
14.3,0,2.125,35.547
14.4,0,0.947,37.093
14.5,0,0.108,37.239
15,0,0.133,34.246
20,0,0.944,13.555
25,0,4.001,6.906
30,0,0.047,9.539
35,0,6.028,2.894
