Eksperyment,t1,t2,M
Bez Tarczy m1 1,3.12,3.09,1.45
Bez Tarczy m1 2,1.55,1.55,2.18
Tarcza A m1 1,4.31,4.35,1.45
Tarcza A m1 2,2.05,2.03,2.18
