Eksperyment,t1,t2,M,Tsr,Ired
Bez Tarczy m1 1,3.12,3.09,1.1099999999999999,3.105,0.00257
Bez Tarczy m1 2,1.55,1.55,1.84,1.55,0.004241
Tarcza A m1 1,4.31,4.35,1.1099999999999999,4.33,0.004999
Tarcza A m1 2,2.05,2.03,1.84,2.04,0.007346
